# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/ellal/genome_analysis/analyses/05_annotation/braker/braker_cleaned.gtf" "-o" "/home/ellal/genome_analysis/analyses/06_expression/read_counts.txt" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam
g440	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	369004;369958;370207	369887;370084;370344	-;-;-	1149	1509	1973
g441	tig00000005_pilon	372064	373479	-	1416	52	45
g442	tig00000005_pilon;tig00000005_pilon	373758;374512	374015;374619	+;+	366	16	8
g443	tig00000005_pilon;tig00000005_pilon	375081;376866	376339;377220	-;-	1614	1712	1405
g444	tig00000005_pilon;tig00000005_pilon	381828;382007	381889;382229	+;+	285	0	0
g445	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	386265;386539;386891	386402;386679;387121	+;+;+	510	0	0
g446	tig00000005_pilon;tig00000005_pilon	387184;387689	387513;387775	+;+	417	0	0
g447	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	388511;388874;389264;389549	388798;388958;389372;389621	-;-;-;-	555	0	0
g448	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	393181;393434;393878;394461	393188;393527;393906;394614	+;+;+;+	285	11	33
g449	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	401129;401604;402044;403061;404220;404456;404614	401256;401638;402180;403281;404356;404569;404780	+;+;+;+;+;+;+	939	0	0
g450	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	404896;405265;405812	405121;405752;406126	+;+;+	1029	0	0
g451	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	407749;408247;408843	408072;408640;409255	-;-;-	1131	0	0
g452	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	409425;409767;409972;410640;411179;411423	409494;409826;410138;410996;411370;411860	+;+;+;+;+;+	1284	0	0
g453	tig00000005_pilon	411901	412248	+	348	0	0
g454	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	413873;414431;414528;415253;415479	414319;414479;414628;415381;415676	+;+;+;+;+	924	0	0
g455	tig00000005_pilon	416712	417044	-	333	0	0
g456	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	419222;419544;419853;420209;420706;421084;421492;421838;422337;422616;424177;424442;425655;425816	419490;419741;420123;420556;420830;421259;421721;422248;422526;422973;424284;424517;425745;425886	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2922	0	0
g457	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	427227;427885;428261;428480;428797;429218	427836;428156;428425;428644;429116;429389	+;+;+;+;+;+	1704	0	2
g458	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	436298;436554;437000;437268;437989	436471;436652;437089;437705;437997	-;-;-;-;-	810	0	0
g459	tig00000005_pilon	439067	440353	+	1287	0	0
g460	tig00000005_pilon;tig00000005_pilon;tig00000005_pilon	440451;440795;441052	440663;440962;441666	+;+;+	996	0	0
g461	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	105;492;935	224;745;1052	-;-;-	492	241	215
g462	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	1074;1074;1660;1660;1899;1899;2164;2164	1105;1090;1727;1727;1936;1936;2298;2298	-;-;-;-;-;-;-;-	273	53	66
g463	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	13011;13277;13750;14918	13198;13374;14129;15163	+;+;+;+	912	0	0
g464	tig00000006_pilon	15188	15712	-	525	0	0
g465	tig00000006_pilon	15776	16003	+	228	0	0
g466	tig00000006_pilon;tig00000006_pilon	16034;16414	16328;16844	+;+	726	0	0
g467	tig00000006_pilon;tig00000006_pilon	17023;17347	17299;17840	-;-	771	0	0
g468	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	17888;18133;18584;19085;19428;19765;20179;20619;20926;21200	17981;18467;18922;19338;19535;20103;20377;20848;21032;21459	+;+;+;+;+;+;+;+;+;+	2265	0	0
g469	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	23621;24000;24412;24638;24883;25128;25483;25687	23946;24176;24510;24770;25005;25203;25552;27031	+;+;+;+;+;+;+;+	2349	177	66
g470	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	27103;27922;31155;32270;32962;33252;33699;34649;35308;36359;36617;37272;38176;38655;39278;39720	27225;27998;31422;32869;33130;33624;34476;35165;36155;36535;37164;37926;38568;39168;39332;39810	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6186	56	18
g471	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	49199;49384;50872;51038;52376	49222;50750;50877;51121;52952	+;+;+;+;+	2058	473	470
g472	tig00000006_pilon	51960	52313	-	354	0	5
g473	tig00000006_pilon;tig00000006_pilon	54674;55157	54840;55211	-;-	222	4	37
g474	tig00000006_pilon;tig00000006_pilon	57834;58360	57925;58519	-;-	252	0	0
g475	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	63447;63916;65026	63515;63963;65130	-;-;-	222	67	0
g476	tig00000006_pilon	69280	69516	-	237	0	0
g477	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	78918;79320;79603;79921;80061;80488;81100;81366;81695;82156	79228;79417;79701;79979;80080;80606;81230;81422;81887;82397	+;+;+;+;+;+;+;+;+;+	1329	427	663
g478	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	85840;87323;87959	86044;87400;87972	-;-;-	297	988	534
g479	tig00000006_pilon;tig00000006_pilon	91765;92717	91974;93487	-;-	981	8073	6046
g480	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	97810;98316;98642;98882;99222;99722;100042	97998;98462;98747;99078;99314;99844;100107	-;-;-;-;-;-;-	921	0	0
g481	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	101148;101364;101649;101927;102187	101162;101413;101687;102060;102269	+;+;+;+;+	321	55	4
g482	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	102972;103413;103815;104238;104578;104906;105552;105710	103139;103559;103920;104434;104670;105128;105652;105736	-;-;-;-;-;-;-;-	1062	13	0
g483	tig00000006_pilon	112480	112701	-	222	0	0
g484	tig00000006_pilon;tig00000006_pilon	123753;123864	123755;124094	+;+	234	0	0
g485	tig00000006_pilon;tig00000006_pilon	124108;124740	124477;124888	-;-	519	0	0
g486	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	126026;127096;127413;128211;128661;128947;129386;130010;130505;131106;131734	126351;127278;127548;128312;128780;129027;129726;130258;130829;131243;133695	+;+;+;+;+;+;+;+;+;+;+	3963	7	25
g487	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	135086;135454;136253;136618	135322;135784;136503;136884	-;-;-;-	1086	0	0
g488	tig00000006_pilon;tig00000006_pilon	137549;137777	137679;137993	+;+	348	0	0
g489	tig00000006_pilon;tig00000006_pilon	151563;151835	151634;152254	-;-	492	745	1576
g490	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	164876;165091;166769;166823;167125;167125;167368;167915;168292;169193	164908;165201;166845;166845;167356;167252;167404;167927;168334;169215	+;+;+;+;+;+;+;+;+;+	569	2173	860
g491	tig00000006_pilon	169266	169667	-	402	0	8
g492	tig00000006_pilon;tig00000006_pilon	170558;170658	170605;171452	+;+	843	10	32
g493	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	173621;173992;174248;174592;174654;174663;175540;175540;176229;176229;177203;177203;177772;177772;178167;178167;178648;178915	173906;174178;174274;174598;174738;174738;176106;176106;177064;177064;177385;177385;177959;177959;178617;178551;178672;178925	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2853	3352	4133
g494	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	179181;179788;180540;181137;181632;182224;182663;183221;183761;184114;185361;186366;186708;186910;187293;187617;187938;188250;188517	179228;180302;180613;181360;181716;182307;183061;183467;183842;184297;185611;186392;186787;186982;187362;187668;187962;188341;188691	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2787	715	1469
g495	tig00000006_pilon;tig00000006_pilon	192695;193016	192805;193360	+;+	456	0	0
g496	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	196213;196409;196971;197533	196230;196471;197011;197767	-;-;-;-	357	8	5
g497	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	200056;201316;201790;202697;203542;203776;204027;204334	200958;201429;202224;203179;203692;203873;204232;204457	-;-;-;-;-;-;-;-	2514	128	8
g498	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	210305;210305;210305;210758;210758;210758;211129;211129;211129;211699;211699;211699;212033;212033;212033;212407;212407;212407;212613;212778;212778;212778;213139;213139;213139;213609;213609;213609;214097;214097;214097;214614;214614;214614;214812;214812;214812;215282;215483;215512;215512	210442;210442;210442;210874;210874;210874;211342;211342;211342;211788;211788;211788;212245;212245;212245;212524;212612;212612;212625;213002;213002;213002;213429;213429;213429;213782;213782;213782;214312;214312;214312;214625;214625;214625;214952;214952;214952;215304;215531;215553;215553	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2144	482	53
g499	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	215618;215788;216045;216438;216852;217139;218092;218391;218854;219111;219383;219748;220016;220325;220900;221264;222289;222590;223092;223296;223606;223706	215656;215904;216131;216731;217040;217513;218163;218496;218978;219246;219429;219820;220125;220481;221060;221432;222533;222835;223167;223434;223631;223785	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3069	1732	67
g500	tig00000006_pilon;tig00000006_pilon	224181;224585	224261;225064	+;+	561	19	0
g501	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	238652;238936;239354;239582;239942;240249;240541;240847;241170;241479;241849;242073;242481;243185;243929;244381	238789;239079;239430;239687;240105;240360;240678;240925;241279;241604;241923;242204;242739;243641;244184;244878	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2871	1661	1646
g502	tig00000006_pilon;tig00000006_pilon	245221;245387	245254;245595	+;+	243	168	103
g503	tig00000006_pilon;tig00000006_pilon	247197;247784	247393;247841	-;-	255	79	37
g504	tig00000006_pilon;tig00000006_pilon	248721;250536	248886;250867	-;-	498	0	0
g505	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	251134;251368;251763;252102;252672	251172;251649;251900;252447;253060	+;+;+;+;+	1194	160	39
g506	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	258969;259292;259587	259231;259498;259656	-;-;-	540	0	0
g507	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	264588;264955;265413;266425	264797;265203;265758;266813	+;+;+;+	1194	81	250
g508	tig00000006_pilon;tig00000006_pilon	270537;271184	270820;271709	+;+	810	774	1137
g509	tig00000006_pilon	273817	274167	+	351	6	0
g510	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	276264;276264;277112;277112;278824	276348;276348;277485;277576;278888	-;-;-;-;-	615	10720	17493
g511	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	279072;279072;280171;280171;280376;280376;280639;280639;281032;281032;281211;281211;281558;281558;281853;281853;282072;282072;282405;282405;282613;282613;282795;282795;283089;283089;283318;283318;283610;283610;283847;283847;284163;284163;284472;284472;285557;285557	280016;280016;280246;280246;280491;280491;280746;280746;281088;281088;281246;281246;281701;281701;281918;281918;282176;282176;282476;282476;282663;282663;282848;282848;283187;283187;283407;283404;283657;283657;283945;283945;284222;284222;284825;284825;285820;285820	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2844	304	227
g512	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	285924;286129;286486;286724;287004;287218	285998;286260;286569;286858;287069;287289	-;-;-;-;-;-	564	8	25
g513	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	292516;293951;294562;294799	293058;294440;294719;294924	-;-;-;-	1317	701	714
g514	tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon;tig00000006_pilon	295648;296718;296960;297328;298654;298871;299450;300113;300761;301377;302033;302304;302844;303070;303338;303780;304136;304436;304780;304923	296355;296810;297161;297701;298749;299128;299854;300556;301016;301593;302120;302439;302896;303126;303481;303842;304277;304615;304845;305119	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4179	2910	1545
g515	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	974;974;1392;1392;1883;1883;2486;2486;2977;2977;3280;3280;3534;3534;3837;3837;4055;4055;4228;4228;4636;4636;4835;4835;5111;5111;5359;5359;5778;5778;5984;5984;6198;6198;6417;6417;6714;6714;7337;7337;7622;7622;7973;7973	1317;1317;1643;1643;2194;2188;2580;2580;3053;3053;3349;3349;3633;3633;3912;3912;4129;4129;4281;4281;4725;4725;4951;4951;5221;5221;5498;5498;5859;5859;6063;6063;6306;6306;6539;6539;6786;6786;7488;7488;7720;7720;8095;8095	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2754	3323	3475
g516	tig00000007_pilon	8210	8506	-	297	63	30
g517	tig00000007_pilon	10421	10873	+	453	0	0
g518	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	10971;11518;12198;12811;13249;13566;14146;14394;14847;15171;15523;15730;16251;16645;16979	11201;12074;12641;12833;13336;13773;14178;14739;14959;15368;15608;16045;16415;16830;17083	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3099	2608	3571
g519	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	20625;21053;21502;21907;22362;23037;23434;24218;24562;26379;26830	20786;21211;21597;22099;22789;23240;23584;24345;24756;26764;26842	-;-;-;-;-;-;-;-;-;-;-	2115	5158	3350
g520	tig00000007_pilon;tig00000007_pilon	27912;28171	28041;28379	+;+	339	4101	2835
g521	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	30332;30661;30910;31125	30501;30733;30917;31209	-;-;-;-	336	15	33
g522	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	31295;31597;31940	31490;31838;33175	+;+;+	1674	0	55
g523	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	35425;36086;36914;37632;37810;38392;39034;39466;40462;40535;41550;41550;41974;41974;42048;42371	35967;36397;37406;37741;38245;38866;39343;39668;40871;40871;41671;41671;42030;41997;42054;42375	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3483	349	143
g524	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	44241;44241;44871;44871;45451;45839;45986;46536	44438;44438;45038;45038;45594;45913;46471;46631	-;-;-;-;-;-;-;-	1167	183	336
g525	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	51100;51539;51983;52368;52719;53231;53613;53853;54100;54434	51378;51886;52201;52531;52902;53361;53715;53949;54175;54659	-;-;-;-;-;-;-;-;-;-	1827	303	287
g526	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	54826;55777;56207;56367;56676	55018;55823;56220;56497;56833	+;+;+;+;+	543	154	60
g527	tig00000007_pilon	57774	58211	-	438	1	0
g528	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	59410;62721;62749	59647;62921;62921	-;-;-	439	3	0
g529	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	63377;63655;65022;65624	63517;63940;65413;65767	+;+;+;+	963	59	43
g530	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	65923;67549;67947;68442;68631;69033;69572;69856;70308;70912;71344;71508;71668;71965	67326;67719;68183;68502;68746;69316;69638;70089;70451;71037;71397;71531;71787;72183	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3261	2076	1788
g531	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	72601;72617;72771;73226;73750;73750;73750;74241;74241;74241;74576;74576;74576;75013;75013;75013;75530;75530;75530;75938;75938;75938;76688;76688;76688	72997;73017;72997;73259;73980;73980;73980;74349;74349;74349;74833;74833;74833;75418;75418;75418;75799;75799;75799;76316;76316;76316;76703;76703;76703	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2120	1445	1690
g532	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	77517;77792;78271;79230;79664;80140;80372;80860;81504;81852;83196	77736;78122;78892;79397;79814;80251;80466;81122;81602;81926;83339	+;+;+;+;+;+;+;+;+;+;+	2280	2387	2586
g533	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	85159;85159;85484;85484;85769;86384	85380;85380;85675;86500;86248;86500	+;+;+;+;+;+	1239	27	105
g534	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	89659;90063;90530;92444;92582;92900;93134;93557;94766	89958;90486;90797;92505;92661;93025;93487;93755;94821	-;-;-;-;-;-;-;-;-	1869	2281	2740
g535	tig00000007_pilon	102488	102919	+	432	0	0
g536	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	107320;107613;107997;108400;108771;109461;109612	107439;107762;108226;108611;109344;109517;109813	-;-;-;-;-;-;-	1545	1221	2174
g537	tig00000007_pilon	110935	111249	-	315	5	10
g538	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	116644;117255;117454;117795;118508;118809;122757;123394	116864;117339;117543;118087;118622;119668;123227;123457	+;+;+;+;+;+;+;+	2199	1200	3245
g539	tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon;tig00000007_pilon	124502;124815;125053;125259;125496;125720;126080;126672;126929;127151;127644;128036;128339;128651;129076;129367;129824;130047;130304;130689;131046;131245;131601;131977;132276;132529;133013;133607	124689;125006;125123;125334;125622;125803;126266;126725;126981;127218;127719;128119;128487;128768;129192;129584;129913;130158;130417;130826;131096;131357;131748;132081;132377;132601;133179;133735	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3204	699	399
